,two,Average2,SD2,p_vales
0,GPX3-RE-PT7,GPX3-RE-PT7,SD,p-values
1,Air,1,0.09,NA
2,4L/min,0.84,0.89,0.7722
3,1L/min,0.99,0.25,0.9512
4,0.5L/min,0.36,0.3,0.024
,two,Average2,SD2,p_vales
0,SINE-RE-PT7,SINE-RE-PT7,SD,p-values
1,Air,1,0.18,NA
2,4L/min,1.08,0.33,0.7311
3,1L/min,1.42,0.11,0.0261
4,0.5L/min,1.03,0.06,0.7978
,two,Average2,SD2,p_vales
0,AHRR-RE-PT7,AHRR-RE-PT7,SD,p-values
1,Air,0.98,0.33,NA
2,4L/min,1.25,0.14,0.262
3,1L/min,1.27,0.18,0.2524
4,0.5L/min,0.81,0.06,0.4296
,two,Average2,SD2,p_vales
0,CY1P1A1-RE-PT7,CY1P1A1-RE-PT7,SD,p-values
1,Air,1,0.46,NA
2,4L/min,0.9,0.15,0.7384
3,1L/min,1.56,0.04,0.1036
4,0.5L/min,0.7,0.22,0.3658
,two,Average2,SD2,p_vales
0,ORF2-RE-PT7,ORF2-RE-PT7,SD,p-values
1,Air,1,0.31,NA
2,4L/min,1.39,0.48,0.3026
3,1L/min,1.32,0.21,0.2129
4,0.5L/min,1.98,0.15,0.0079
,two,Average2,SD2,p_vales
0,5 UTR S2-RE-PT7,5 UTR S2-RE-PT7,SD,p-values
1,Air,1,0.5,NA
2,4L/min,1.13,0.49,0.7638
3,1L/min,0.9,0.09,0.7503
4,0.5L/min,1.02,0.16,0.9506
,two,Average2,SD2,p_vales
0,ALU-RT-RE-PT7,ALU-RT-RE-PT7,SD,p-values
1,Air,1,0.3,NA
2,4L/min,1.1,0.19,0.6512
3,1L/min,1.43,0.3,0.154
4,0.5L/min,1.36,0.23,0.1744
,two,Average2,SD2,p_vales
0,HS 5 UTR -RE-PT7,HS 5 UTR -RE-PT7,SD,p-values
1,Air,1,0.21,NA
2,4L/min,0.9,0.37,0.7048
3,1L/min,1.12,0.23,0.5411
4,0.5L/min,0.92,0.38,0.7656
,two,Average2,SD2,p_vales
0,ORF1-RE-PT7,ORF1-RE-PT7,SD,p-values
1,Air,1,0.41,NA
2,4L/min,1.55,0.71,0.3099
3,1L/min,2.04,0.3,0.0239
4,0.5L/min,1.77,0.16,0.0388
,two,Average2,SD2,p_vales
0,5 UTR S3-RE-PT7,5 UTR S3-RE-PT7,SD,p-values
1,Air,1,0.41,NA
2,4L/min,1.1,0.48,0.7974
3,1L/min,1.57,0.59,0.2414
4,0.5L/min,1.38,0.37,0.2992
,two,Average2,SD2,p_vales
0,HS 3 UTR -RE-PT7,HS 3 UTR -RE-PT7,SD,p-values
1,Air,1,0.89,NA
2,4L/min,1.54,0.4,0.3921
3,1L/min,2.25,0.96,0.1735
4,0.5L/min,2.02,0.08,0.1192
