,one,Average1,SD1,p_vales
0,GPX3-McRBC-T0,GPX3-McRBC-T0,SD,p-values
1,Air,1.00,0.06,NA
2,4L/min,1.20,0.06,0.0151
3,1L/min,1.05,0.43,0.8516
4,0.5L/min,0.95,0.21,0.712
,one,Average1,SD1,p_vales
0,SINE-McRBC-T0,SINE-McRBC-T0,SD,p-values
1,Air,1.00,0.05,NA
2,4L/min,1.03,0.08,0.6111
3,1L/min,0.99,0.15,0.918
4,0.5L/min,0.88,0.07,0.0731
,one,Average1,SD1,p_vales
0,AHRR-McRBC-T0,AHRR-McRBC-T0,SD,p-values
1,Air,1.00,0.06,NA
2,4L/min,1.16,0.05,0.0238
3,1L/min,0.83,0.11,0.0785
4,0.5L/min,0.96,0.03,0.3601
,one,Average1,SD1,p_vales
0,CY1P1A1-McRBC-T0,CY1P1A1-McRBC-T0,SD,p-values
1,Air,1.00,0.04,NA
2,4L/min,1.22,0.06,0.0062
3,1L/min,1.31,0.18,0.0436
4,0.5L/min,1.00,0.03,1.0
,one,Average1,SD1,p_vales
0,ORF2-McRBC-T0,ORF2-McRBC-T0,SD,p-values
1,Air,1.00,0.17,NA
2,4L/min,1.14,0.18,0.3828
3,1L/min,0.54,0.16,0.027
4,0.5L/min,0.54,0.23,0.0495
,one,Average1,SD1,p_vales
0,5 UTR S2-McRBC-T0,5 UTR S2-McRBC-T0,SD,p-values
1,Air,1.00,0.28,NA
2,4L/min,1.09,0.15,0.6493
3,1L/min,1.10,0.48,0.7708
4,0.5L/min,1.03,0.39,0.919
,one,Average1,SD1,p_vales
0,ALU-RT-McRBC-T0,ALU-RT-McRBC-T0,SD,p-values
1,Air,1.00,0.05,NA
2,4L/min,1.22,0.21,0.1523
3,1L/min,0.91,0.44,0.7426
4,0.5L/min,1.38,0.12,0.0072
,one,Average1,SD1,p_vales
0,HS 5 UTR -McRBC-T0,HS 5 UTR -McRBC-T0,SD,p-values
1,Air,1.00,0.22,NA
2,4L/min,1.15,0.51,0.6643
3,1L/min,0.99,0.26,0.9619
4,0.5L/min,1.11,0.21,0.565
,one,Average1,SD1,p_vales
0,ORF1-McRBC-T0,ORF1-McRBC,SD,p-values
1,Air,1.00,0.33,NA
2,4L/min,0.74,0.20,0.308
3,1L/min,1.07,0.08,0.7391
4,0.5L/min,0.63,0.24,0.1914
,one,Average1,SD1,p_vales
0,5 UTR S3-McRBC-T0,5 UTR S3-McRBC-T0,SD,p-values
1,Air,1.00,0.48,NA
2,4L/min,1.18,0.26,0.5985
3,1L/min,1.62,0.52,0.2038
4,0.5L/min,1.39,0.39,0.3361
,one,Average1,SD1,p_vales
0,HS 3 UTR-McRBC-T0,HS 3 UTR-McRBC-T0,SD,p-values
1,Air,1.00,0.32,NA
2,4L/min,1.57,0.28,0.081
3,1L/min,1.37,0.42,0.2916
4,0.5L/min,1.19,0.70,0.691
