,two,Average2,SD2,p_vales
0,GPX3-RE-PT2,GPX3-RE-PT2,SD,p-values
1,Air,1,0.25,NA
2,4L/min,0.87,0.02,0.42
3,1L/min,0.92,0.25,0.7151
4,0.5L/min,0.77,0.39,0.4383
,two,Average2,SD2,p_vales
0,SINE-RE-PT2,SINE-RE-PT2,SD,p-values
1,Air,1,0.05,NA
2,4L/min,0.86,0.15,0.1999
3,1L/min,0.86,0.01,0.0089
4,0.5L/min,0.84,0.05,0.0173
,two,Average2,SD2,p_vales
0,AHRR-RE-PT2,AHRR-RE-PT2,SD,p-values
1,Air,1,0.34,NA
2,4L/min,1.06,0.16,0.7958
3,1L/min,1.09,0.14,0.6934
4,0.5L/min,0.58,0.21,0.1428
,two,Average2,SD2,p_vales
0,CY1P1A1-RE-PT2,CY1P1A1-RE-PT2,SD,p-values
1,Air,1,0.29,NA
2,4L/min,1.12,0.31,0.65
3,1L/min,0.98,0.22,0.9288
4,0.5L/min,0.55,0.04,0.0562
,two,Average2,SD2,p_vales
0,ORF2-RE-PT2,ORF2-RE-PT2,SD,p-values
1,Air,1,0.35,NA
2,4L/min,0.89,0.12,0.6337
3,1L/min,0.64,0.16,0.1805
4,0.5L/min,0.51,0.09,0.0786
,two,Average2,SD2,p_vales
0,5 UTR S2-RE-PT2,5 UTR S2-RE-PT2,SD,p-values
1,Air,1,0.15,NA
2,4L/min,0.75,0.1,0.0742
3,1L/min,0.68,0.3,0.1738
4,0.5L/min,0.72,0.13,0.071
,two,Average2,SD2,p_vales
0,ALU-RT-RE-PT2,ALU-RT-RE-PT2,SD,p-values
1,Air,1,0.1,NA
2,4L/min,0.9,0.34,0.6506
3,1L/min,0.9,0.13,0.3505
4,0.5L/min,0.81,0.14,0.1283
,two,Average2,SD2,p_vales
0,HS 5 UTR -RE-PT2,HS 5 UTR -RE-PT2,SD,p-values
1,Air,1,0.29,NA
2,4L/min,1.1,0.14,0.6192
3,1L/min,1.1,0.15,0.6239
4,0.5L/min,1.11,0.37,0.706
,two,Average2,SD2,p_vales
0,ORF1-RE-PT2,ORF1-RE-PT2,SD,p-values
1,Air,1,0.39,NA
2,4L/min,1.05,0.48,0.8954
3,1L/min,0.97,0.01,0.9005
4,0.5L/min,0.74,0.14,0.3382
,two,Average2,SD2,p_vales
0,5 UTR S3-RE-PT2,5 UTR S3-RE-PT2,SD,p-values
1,Air,1,0.06,NA
2,4L/min,1.35,0.21,0.05
3,1L/min,0.89,0.04,0.0575
4,0.5L/min,0.76,0.1,0.0235
,two,Average2,SD2,p_vales
0,HS 3 UTR -RE-PT2,HS 3 UTR -RE-PT2,SD,p-values
1,Air,1,0.01,NA
2,4L/min,0.98,0.18,0.857
3,1L/min,1.24,0.32,0.2639
4,0.5L/min,1.22,0.1,0.0192
