,one,Average1,SD1,p_vales
0,GPX3-McRBC-T1,GPX3-McRBC-T1,SD,p-values
1,Air,1,0.16,NA
2,4L/min,0.8,0.02,0.0982
3,1L/min,0.77,0.1,0.1023
4,0.5L/min,0.69,0.18,0.0897
,one,Average1,SD1,p_vales
0,SINE-McRBC-T1,SINE-McRBC-T1,SD,p-values
1,Air,1,0.05,NA
2,4L/min,0.88,0.21,0.3902
3,1L/min,0.88,0.04,0.0315
4,0.5L/min,0.83,0.11,0.0714
,one,Average1,SD1,p_vales
0,AHRR-McRBC-T1,AHRR-McRBC-T1,SD,p-values
1,Air,1,0.21,NA
2,4L/min,0.91,0.02,0.5009
3,1L/min,1.25,0.25,0.2554
4,0.5L/min,1.14,0.03,0.3168
,one,Average1,SD1,p_vales
0,CY1P1A1-McRBC-T1,CY1P1A1-McRBC-T1,SD,p-values
1,Air,1,0.3,NA
2,4L/min,0.65,0.24,0.1897
3,1L/min,0.76,0.09,0.2551
4,0.5L/min,0.76,0.08,0.2516
,one,Average1,SD1,p_vales
0,ORF2-McRBC-T1,ORF2-McRBC-T1,SD,p-values
1,Air,1,0.09,NA
2,4L/min,1.36,0.33,0.1424
3,1L/min,0.83,0.11,0.107
4,0.5L/min,0.38,0.07,0.0007
,one,Average1,SD1,p_vales
0,5 UTR S2-McRBC-T1,5 UTR S2-McRBC-T1,SD,p-values
1,Air,1,0.27,NA
2,4L/min,1.14,0.21,0.5175
3,1L/min,0.78,0.19,0.3127
4,0.5L/min,0.41,0.17,0.0328
,one,Average1,SD1,p_vales
0,ALU-RT-McRBC-T1,ALU-RT-McRBC-T1,SD,p-values
1,Air,1,0.01,NA
2,4L/min,0.8,0.18,0.127
3,1L/min,0.39,0.07,0.0001
4,0.5L/min,0.31,0.01,0.0
,one,Average1,SD1,p_vales
0,HS 5 UTR -McRBC,HS 5 UTR -McRBC-T1,SD,p-values
1,Air,1,0.02,NA
2,4L/min,1.13,0.32,0.5212
3,1L/min,0.8,0.09,0.0198
4,0.5L/min,0.55,0.26,0.0404
,one,Average1,SD1,p_vales
0,ORF1-McRBC-T1,ORF1-McRBC-T1,SD,p-values
1,Air,1,0.06,NA
2,4L/min,1.38,0.22,0.0447
3,1L/min,1.04,0.14,0.6728
4,0.5L/min,0.54,0.09,0.0018
,one,Average1,SD1,p_vales
0,5 UTR S3-McRBC-T1,5 UTR S3-McRBC-T1,SD,p-values
1,Air,1,0.1,NA
2,4L/min,0.6,0.06,0.004
3,1L/min,0.54,0.22,0.03
4,0.5L/min,0.41,0.03,0.0006
,one,Average1,SD1,p_vales
0,HS 3 UTR-McRBC-T1,HS 3 UTR-McRBC-T1,SD,p-values
1,Air,1,0.11,NA
2,4L/min,1.37,0.36,0.1639
3,1L/min,0.71,0.25,0.1398
4,0.5L/min,0.65,0.24,0.0833
