,two,Average2,SD2,p_vales
0,GPX3-RE-T1,,SD,p-values
1,Air,,0.02,NA
2,4L/min,,0.14,
3,1L/min,,0.15,
4,0.5L/min,,0.11,
,two,Average2,SD2,p_vales
0,SINE-RE-T1,,SD,p-values
1,Air,,0.04,NA
2,4L/min,,0.06,
3,1L/min,,0.06,
4,0.5L/min,,0.07,
,two,Average2,SD2,p_vales
0,AHRR-RE-T1,,SD,p-values
1,Air,,0.26,NA
2,4L/min,,0.04,
3,1L/min,,0.27,
4,0.5L/min,,0.26,
,two,Average2,SD2,p_vales
0,CY1P1A1-RE-T1,,SD,p-values
1,Air,,0.18,NA
2,4L/min,,0.11,
3,1L/min,,0.18,
4,0.5L/min,,0.21,
,two,Average2,SD2,p_vales
0,ORF2-RE-T1,,SD,p-values
1,Air,,0.48,NA
2,4L/min,,0.14,
3,1L/min,,0.1,
4,0.5L/min,,0.12,
,two,Average2,SD2,p_vales
0,5 UTR S2-RE-T1,,SD,p-values
1,Air,,0.29,NA
2,4L/min,,0.13,
3,1L/min,,0.01,
4,0.5L/min,,0.27,
,two,Average2,SD2,p_vales
0,ALU-RT-RE-T1,,SD,p-values
1,Air,,0.26,NA
2,4L/min,,0.1,
3,1L/min,,0.12,
4,0.5L/min,,0.15,
,two,Average2,SD2,p_vales
0,HS 5 UTR -RE-T1,,SD,p-values
1,Air,,0.42,NA
2,4L/min,,0.32,
3,1L/min,,0.06,
4,0.5L/min,,0.31,
,two,Average2,SD2,p_vales
0,ORF1-RE-T1,,SD,p-values
1,Air,,0.39,NA
2,4L/min,,0.06,
3,1L/min,,0.19,
4,0.5L/min,,0.18,
,two,Average2,SD2,p_vales
0,5 UTR S3-RE-T1,,SD,p-values
1,Air,,0.4,NA
2,4L/min,,0.11,
3,1L/min,,0.16,
4,0.5L/min,,0.14,
,two,Average2,SD2,p_vales
0,HS 3 UTR -RE-T1,,SD,p-values
1,Air,,0.22,NA
2,4L/min,,0.63,
3,1L/min,,0.05,
4,0.5L/min,,0.41,
