,one,Average1,SD1,p_vales
0,GPX3-McRBC-PT2,GPX3-McRBC-PT2,SD,p-values
1,Air,1,0.17,NA
2,4L/min,0.82,0.24,0.3489
3,1L/min,0.98,0.11,0.8725
4,0.5L/min,0.84,0.12,0.2537
,one,Average1,SD1,p_vales
0,SINE-McRBC-PT2,SINE-McRBC-PT2,SD,p-values
1,Air,1,0.01,NA
2,4L/min,0.95,0.07,0.2879
3,1L/min,0.89,0.04,0.0099
4,0.5L/min,0.81,0.03,0.0005
,one,Average1,SD1,p_vales
0,AHRR-McRBC-PT2,AHRR-McRBC-PT2,SD,p-values
1,Air,1,0.15,NA
2,4L/min,1.07,0.19,0.6428
3,1L/min,1.04,0.1,0.7203
4,0.5L/min,0.75,0.12,0.0872
,one,Average1,SD1,p_vales
0,CY1P1A1-McRBC-PT2,CY1P1A1-McRBC-PT2,SD,p-values
1,Air,1,0.14,NA
2,4L/min,1.11,0.25,0.5425
3,1L/min,1.15,0.12,0.2316
4,0.5L/min,0.86,0.14,0.2879
,one,Average1,SD1,p_vales
0,ORF2-McRBC-PT2,ORF2-McRBC-PT2,SD,p-values
1,Air,1,0.43,NA
2,4L/min,0.82,0.14,0.5285
3,1L/min,0.53,0.03,0.132
4,0.5L/min,0.38,0.03,0.0674
,one,Average1,SD1,p_vales
0,5 UTR S2-McRBC-PT2,5 UTR S2-McRBC-PT2,SD,p-values
1,Air,1,0.38,NA
2,4L/min,0.64,0.11,0.1901
3,1L/min,0.52,0.32,0.1695
4,0.5L/min,0.59,0.07,0.1399
,one,Average1,SD1,p_vales
0,ALU-RT-McRBC-PT2,ALU-RT-McRBC-PT2,SD,p-values
1,Air,1,0.09,NA
2,4L/min,1.16,0.1,0.1085
3,1L/min,0.8,0.13,0.0936
4,0.5L/min,0.95,0.04,0.4289
,one,Average1,SD1,p_vales
0,HS 5 UTR -McRBC-PT2,HS 5 UTR -McRBC-PT2,SD,p-values
1,Air,1,0.24,NA
2,4L/min,1.29,0.34,0.2939
3,1L/min,1.35,0.43,0.2857
4,0.5L/min,1.25,0.65,0.5659
,one,Average1,SD1,p_vales
0,ORF1-McRBC-PT2,ORF1-McRBC-PT2,SD,p-values
1,Air,1,0.36,NA
2,4L/min,1.18,0.4,0.5934
3,1L/min,0.79,0.05,0.3736
4,0.5L/min,0.65,0.07,0.1737
,one,Average1,SD1,p_vales
0,5 UTR S3-McRBC-PT2,5 UTR S3-McRBC-PT2,SD,p-values
1,Air,1,0.08,NA
2,4L/min,1.18,0.33,0.4105
3,1L/min,0.78,0.03,0.0112
4,0.5L/min,0.71,0.08,0.0113
,one,Average1,SD1,p_vales
0,HS 3 UTR-McRBC-PT2,HS 3 UTR-McRBC-PT2,SD,p-values
1,Air,1,0.04,NA
2,4L/min,1.19,0.29,0.3238
3,1L/min,1.2,0.16,0.1036
4,0.5L/min,1.31,0.12,0.0132
