,three,Average3,SD3,p_vales
0,Normalized to B actin ,AHRR-PT2,SD,p-values
1,air,1.00,0.08,NA
2,4l/min,0.83,0.10,0.083
3,1l/min,1.65,0.07,0.0004
4,0.5l/min,2.57,0.43,0.0034
,three,Average3,SD3,p_vales
0,Normalized to B actin ,ALU RT-PT2,SD,p-values
1,air,1.01,0.15,NA
2,4l/min,0.58,0.08,0.0119
3,1l/min,0.85,0.29,0.4438
4,0.5l/min,0.56,0.07,0.0092
,three,Average3,SD3,p_vales
0,Normalized to B actin ,GPX3-PT2,SD,p-values
1,air,1.00,0.07,NA
2,4l/min,0.93,0.08,0.3177
3,1l/min,1.11,0.09,0.17
4,0.5l/min,1.63,0.06,0.0003
,three,Average3,SD3,p_vales
0,Normalized to B actin ,HS 3 UTR-PT2,SD,p-values
1,air,1.00,0.12,NA
2,4l/min,0.72,0.11,0.0408
3,1l/min,0.87,0.16,0.3232
4,0.5l/min,0.67,0.08,0.0166
,three,Average3,SD3,p_vales
0,Normalized to B actin ,HS 5 UTR-PT2,SD,p-values
1,air,1.01,0.15,NA
2,4l/min,0.77,0.11,0.0891
3,1l/min,0.95,0.16,0.6603
4,0.5l/min,0.73,0.14,0.0774
,three,Average3,SD3,p_vales
0,Normalized to B actin ,ORF1-PT2,SD,p-values
1,air,1.01,0.10,NA
2,4l/min,0.85,0.08,0.0965
3,1l/min,0.89,0.12,0.2541
4,0.5l/min,0.71,0.14,0.0392
,three,Average3,SD3,p_vales
0,Normalized to B actin ,ORF2-PT2,SD,p-values
1,air,1.01,0.15,NA
2,4l/min,0.89,0.18,0.4252
3,1l/min,0.93,0.14,0.5365
4,0.5l/min,0.77,0.10,0.0824
,three,Average3,SD3,p_vales
0,Normalized to B actin ,CYP1A1-PT2,SD,p-values
1,air,1.09,0.48,NA
2,4l/min,2.17,1.26,0.2376
3,1l/min,309.53,59.83,0.0009
4,0.5l/min,1496.78,290.57,0.0009
,three,Average3,SD3,p_vales
0,Normalized to B actin ,DNMT3B-PT2,SD,p-values
1,air,1.00,0.08,NA
2,4l/min,0.81,0.07,0.0364
3,1l/min,0.99,0.10,0.8989
4,0.5l/min,0.92,0.10,0.3401
,three,Average3,SD3,p_vales
0,Normalized to B actin ,DNMT3A-PT2,SD,p-values
1,air,1.00,0.05,NA
2,4l/min,0.89,0.06,0.0713
3,1l/min,0.97,0.06,0.5423
4,0.5l/min,0.94,0.12,0.4688
,three,Average3,SD3,p_vales
0,Normalized to B actin ,DNMT1-PT2,SD,p-values
1,air,1.00,0.08,NA
2,4l/min,0.81,0.10,0.062
3,1l/min,0.78,0.09,0.034
4,0.5l/min,0.72,0.05,0.0068
,three,Average3,SD3,p_vales
0,Normalized to B actin ,TET1-PT2,SD,p-values
1,air,1.01,0.18,NA
2,4l/min,0.79,0.06,0.115
3,1l/min,0.72,0.04,0.0528
4,0.5l/min,0.47,0.06,0.0079
,three,Average3,SD3,p_vales
0,Normalized to B actin ,TET2-PT2,SD,p-values
1,air,1.00,0.11,NA
2,4l/min,0.87,0.06,0.1467
3,1l/min,0.92,0.02,0.283
4,0.5l/min,0.85,0.06,0.1068
,three,Average3,SD3,p_vales
0,Normalized to B actin ,TET3-PT2,SD,p-values
1,air,1.00,0.11,NA
2,4l/min,0.98,0.13,0.8487
3,1l/min,0.94,0.08,0.4874
4,0.5l/min,0.98,0.09,0.8194
