,seven,Average7,SD7,p_vales
0,Normalized to B actin ,AHRR-T0,SD,p-values
1,air,1.00,0.05,NA
2,4l/min,7.31,1.50,0.0019
3,1l/min,16.16,0.96,0.0
4,0.5l/min,12.07,1.90,0.0005
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,Alu-RT-T0,SD,p-values
1,air,1.00,0.06,NA
2,4l/min,1.21,0.24,0.2154
3,1l/min,0.87,0.14,0.2134
4,0.5l/min,0.76,0.03,0.0034
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,GPX3-T0,SD,p-values
1,air,1.01,0.08,NA
2,4l/min,0.99,0.05,0.7321
3,1l/min,1.19,0.07,0.0427
4,0.5l/min,1.70,0.07,0.0004
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,HSLINE 3 UTR-T0,SD,p-values
1,air,1.00,0.04,NA
2,4l/min,1.08,0.22,0.569
3,1l/min,0.84,0.11,0.077
4,0.5l/min,0.63,0.15,0.0145
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,HS LINE 5UTR-T0,SD,p-values
1,air,1.00,0.09,NA
2,4l/min,1.01,0.15,0.9259
3,1l/min,0.85,0.13,0.1757
4,0.5l/min,0.58,0.05,0.0021
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,ORF1-T0,SD,p-values
1,air,1.01,0.14,NA
2,4l/min,1.18,0.20,0.2942
3,1l/min,0.94,0.15,0.5864
4,0.5l/min,0.67,0.08,0.0217
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,ORF2-T0,SD,p-values
1,air,1.00,0.06,NA
2,4l/min,1.18,0.25,0.292
3,1l/min,0.91,0.14,0.364
4,0.5l/min,0.67,0.11,0.0103
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,CY1P1A1-T0,SD,p-values
1,air,1.06,0.41,NA
2,4l/min,1487.71,210.27,0.0003
3,1l/min,9406.97,128.81,0.0
4,0.5l/min,7993.70,592.42,0.0
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,DNMT3b-T0,SD,p-values
1,air,1.00,0.05,NA
2,4l/min,1.09,0.18,0.451
3,1l/min,0.83,0.06,0.0196
4,0.5l/min,0.52,0.06,0.0004
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,DNMT3a-T0,SD,p-values
1,air,1.00,0.04,NA
2,4l/min,1.04,0.10,0.5551
3,1l/min,0.92,0.02,0.0363
4,0.5l/min,0.64,0.19,0.0325
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,DNMT1-T0,SD,p-values
1,air,1.00,0.04,NA
2,4l/min,0.97,0.12,0.7023
3,1l/min,0.90,0.03,0.0257
4,0.5l/min,0.69,0.01,0.0002
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,TET1-T0,SD,p-values
1,air,1.00,0.15,NA
2,4l/min,1.44,0.37,0.1289
3,1l/min,0.69,0.25,0.1393
4,0.5l/min,0.21,0.10,0.0016
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,TET2-T0,SD,p-values
1,air,1.00,0.01,NA
2,4l/min,0.98,0.16,0.8395
3,1l/min,0.86,0.03,0.0016
4,0.5l/min,0.64,0.04,0.0001
,seven,Average7,SD7,p_vales
0,Normalized to B actin ,TET3-T0,SD,p-values
1,air,1.00,0.04,NA
2,4l/min,0.92,0.10,0.2677
3,1l/min,0.86,0.06,0.0282
4,0.5l/min,0.80,0.03,0.0023
